id,word_sr_sing,word_sr_plur,word_ru,gender,type,category
1,Hvala,,Спасибо,,expression,Basics
2,Molim,,Пожалуйста,,expression,Basics
3,Izvolite,,Пожалуйста (при подаче/встрече),,expression,Basics
4,Dobar dan,,Добрый день,,expression,Basics
5,Zdravo,,Привет / Здравствуйте,,expression,Basics
6,Do viđenja,,До свидания,,expression,Basics
7,Da,,Да,,expression,Basics
8,Ne,,Нет,,expression,Basics
9,Čovek,Ljudi,Человек,m,noun,Family & People
10,Žena,Žene,Женщина / Жена,f,noun,Family & People
11,Dete,Deca,Ребенок,n,noun,Family & People
12,Otac,Očevi,Отец,m,noun,Family & People
13,Majka,Majke,Мать / Мама,f,noun,Family & People
14,Sin,Sinovi,Сын,m,noun,Family & People
15,Ćerka,Ćerke,Дочь,f,noun,Family & People
16,Brat,Braća,Брат,m,noun,Family & People
17,Sestra,Sestre,Сестра,f,noun,Family & People
18,Prijatelj,Prijatelji,Друг / Приятель,m,noun,Family & People
19,Hleb,Hlebovi,Хлеб,m,noun,Food & Drinks
20,Voda,Vode,Вода,f,noun,Food & Drinks
21,Kafa,Kafe,Кофе,f,noun,Food & Drinks
22,Čaj,Čajevi,Чай,m,noun,Food & Drinks
23,Mleko,Mleka,Молоко,n,noun,Food & Drinks
24,Sok,Sokovi,Сок,m,noun,Food & Drinks
25,Meso,Mesa,Мясо,n,noun,Food & Drinks
26,Voće,,Фрукты,n,noun,Food & Drinks
27,Povrće,,Овощи,n,noun,Food & Drinks
28,Račun,Računi,Счет (чек),m,noun,Food & Drinks
29,Kuća,Kuće,Дом,f,noun,Places & City
30,Grad,Gradovi,Город,m,noun,Places & City
31,Ulica,Ulice,Улица,f,noun,Places & City
32,Stan,Stanovi,Квартира,m,noun,Places & City
33,Prodavnica,Prodavnice,Магазин,f,noun,Places & City
34,Škola,Škole,Школа,f,noun,Places & City
35,Restoran,Restorani,Ресторан,m,noun,Places & City
36,Hotel,Hoteli,Отель,m,noun,Places & City
37,Bolnica,Bolnice,Больница,f,noun,Places & City
38,Mesto,Mesta,Место,n,noun,Places & City
39,Sto,Stolovi,Стол,m,noun,Objects & Items
40,Stolica,Stolice,Стул,f,noun,Objects & Items
41,Knjiga,Knjige,Книга,f,noun,Objects & Items
42,Telefon,Telefoni,Телефон,m,noun,Objects & Items
43,Ključ,Ključevi,Ключ,m,noun,Objects & Items
44,Prozor,Prozori,Окно,m,noun,Objects & Items
45,Vrata,Vrata,Дверь,n,noun,Objects & Items
46,Torba,Torbe,Сумка,f,noun,Objects & Items
47,Dan,Dani,День,m,noun,Time & Calendar
48,Noć,Noći,Ночь,f,noun,Time & Calendar
49,Nedelja,Nedelje,Неделя / Воскресенье,f,noun,Time & Calendar
50,Mesec,Meseci,Месяц / Луна,m,noun,Time & Calendar
51,Godina,Godine,Год,f,noun,Time & Calendar
52,Jutro,Jutra,Утро,n,noun,Time & Calendar
53,Veče,Večeri,Вечер,n,noun,Time & Calendar
54,Sutra,,Завтра,,adverb,Time & Calendar
55,Danas,,Сегодня,,adverb,Time & Calendar
56,Juče,,Вчера,,adverb,Time & Calendar
57,Biti (sam),,Быть (я есть),,verb,Verbs
58,Imati (imam),,Иметь (у меня есть),,verb,Verbs
59,Moći (mogu),,Мочь (я могу),,verb,Verbs
60,Želeti (želim),,Желать / Хотеть,,verb,Verbs
61,Govoriti (govorim),,Говорить,,verb,Verbs
62,Razumeti (razumem),,Понимать,,verb,Verbs
63,Raditi (radim),,Работать / Делать,,verb,Verbs
64,Ići (idem),,Идти,,verb,Verbs
65,Kupiti (kupim),,Купить,,verb,Verbs
66,Znati (znam),,Знать,,verb,Verbs
67,Vreme,Vremena,Время,n,noun,Time & Calendar
68,Posao,Poslovi,Дело,m,noun,Work & Study
69,Život,Životi,Жизнь,m,noun,Basics
70,Ruka,Ruke,Рука,f,noun,Body & Health
71,Put,Putovanja,Раз,m,noun,Basics
72,Rad,Radovi,Работа,m,noun,Work & Study
73,Reč,Reči,Слово,f,noun,Communication
74,Lice,Lica,Лицо,n,noun,Body & Health
75,Oko,Oči,Глаз,n,noun,Body & Health
76,Pitanje,Pitanja,Вопрос,n,noun,Communication
77,Strana,Strane,Сторона,f,noun,Places & City
78,Zemlja,Zemlje,Страна,f,noun,Places & City
79,Svet,Svetovi,Мир,m,noun,Basics
80,Slučaj,Slučajevi,Случай,m,noun,Basics
81,Glava,Glave,Голова,f,noun,Body & Health
82,Sila,Sile,Сила,f,noun,Basics
83,Kraj,Krajevi,Конец,m,noun,Time & Calendar
84,Pogled,Pogledi,Вид,m,noun,Basics
85,Sistem,Sistemi,Система,m,noun,Basics
86,Deo,Delovi,Часть,m,noun,Basics
87,Odnos,Odnosi,Отношение,m,noun,Communication
88,Novac,,Деньги,m,noun,Basics
89,Auto,Automobili,Машина,m,noun,Objects & Items
90,Problem,Problemi,Проблема,m,noun,Basics
91,Sat,Sati,Час,m,noun,Time & Calendar
92,Pravo,Prava,Право,n,noun,Basics
93,Noga,Noge,Нога,f,noun,Body & Health
94,Rešenje,Rešenja,Решение,n,noun,Basics
95,Slika,Slike,Образ,f,noun,Objects & Items
96,Istorija,Istorije,История,f,noun,Work & Study
97,Vlast,Vlasti,Власть,f,noun,Basics
98,Zakon,Zakoni,Закон,m,noun,Basics
99,Rat,Ratovi,Война,m,noun,Basics
100,Bog,Bogovi,Бог,m,noun,Basics
101,Glas,Glasovi,Голос,m,noun,Communication
102,Hiljada,Hiljade,Тысяча,f,noun,Basics
103,Prijatelj,Prijatelji,Друг,m,noun,Family & People
104,Žena,Žene,Женщина,f,noun,Family & People
105,Zemlja,Zemlje,Земля,f,noun,Places & City
106,Mogućnost,Mogućnosti,Возможность,f,noun,Basics
107,Rezultat,Rezultati,Результат,m,noun,Basics
108,Ime,Imena,Имя,n,noun,Basics
109,Oblast,Oblasti,Область,f,noun,Places & City
110,Članak,Članci,Статья,m,noun,Work & Study
111,Broj,Brojevi,Число,m,noun,Basics
112,Kompanija,Kompanije,Компания,f,noun,Work & Study
113,Narod,Narodi,Народ,m,noun,Family & People
114,Supruga,Supruge,Жена,f,noun,Family & People
115,Grupa,Grupe,Группа,f,noun,Basics
116,Razvoj,,Развитие,m,noun,Basics
117,Proces,Procesi,Процесс,m,noun,Basics
118,Sud,Sudovi,Суд,m,noun,Basics
119,Uslov,Uslovi,Условие,m,noun,Basics
120,Sredstvo,Sredstva,Средство,n,noun,Basics
121,Početak,Počeci,Начало,m,noun,Time & Calendar
122,Svetlo,Svetla,Свет,n,noun,Basics
123,Vreme,,Пора,n,noun,Time & Calendar
124,Put,Putevi,Путь,m,noun,Places & City
125,Duša,Duše,Душа,f,noun,Body & Health
126,Nivo,Nivoi,Уровень,m,noun,Basics
127,Oblik,Oblici,Форма,m,noun,Basics
128,Veza,Veze,Связь,f,noun,Communication
129,Minut,Minuti,Минута,m,noun,Time & Calendar
130,Kvalitet,Kvaliteti,Качество,m,noun,Basics
131,Misao,Misli,Мысль,f,noun,Communication
132,Put,Putevi,Дорога,m,noun,Places & City
133,Majka,Majke,Мать,f,noun,Family & People
134,Akcija,Akcije,Действие,f,noun,Basics
135,Mesec,Meseci,Месяц,m,noun,Time & Calendar
136,Država,Države,Государство,f,noun,Places & City
137,Jezik,Jezici,Язык,m,noun,Communication
138,Ljubav,Ljubavi,Любовь,f,noun,Basics
